testfile,bytes,elements,time (ms)
Hashtable:
village.txt,4561,100,56
small-town.txt,44892,1000,80
town.txt,451617,10000,587
large-town.txt,2255053,50000,2095
city.txt,4511688,100000,2795
large-city.txt,22554540,500000,12483
metropolis.txt,45107513,1000000,27104
capital.txt,90209834,2000000,49622
megalopolis.txt,227564229,5000000,121509
Binary search tree:
village.txt,4561,100,0
small-town.txt,44892,1000,8
town.txt,451617,10000,90
large-town.txt,2255053,50000,514
city.txt,4511688,100000,1098
large-city.txt,22554540,500000,5006
metropolis.txt,45107513,1000000,9972
capital.txt,90209834,2000000,21800
megalopolis.txt,227564229,5000000,55112
